@relation training

@attribute feat_1 numeric
@attribute feat_2 numeric
@attribute class {class_1,class_2,class_3}

@data
7.467925,1.320176,class_3
2.017461,0.106644,class_3
1.699775,0.111307,class_3
1.636035,0.106983,class_3
1.481071,0.113881,class_3
1.437022,0.112178,class_3
-1.83178,0.232427,class_1
-1.541789,0.303348,class_1
-1.384951,0.360732,class_1
-2.182991,0.6511,class_1
-1.347933,0.170382,class_1
-2.111398,2.560476,class_1
-2.553508,2.199866,class_1
-2.617203,2.234302,class_1
-2.243389,2.429253,class_1
-2.494127,2.754731,class_1
-2.395585,2.354316,class_1
1.202829,0.092091,class_1
0.778278,0.081352,class_1
0.719976,0.085394,class_1
0.867931,0.078314,class_1
0.819064,0.085069,class_1
-3.691397,1.677623,class_1
-4.078919,2.169848,class_1
-4.573976,2.165982,class_1
-4.895185,2.279198,class_1
-5.040401,1.92105,class_1
-5.1295,1.35692,class_1
-5.075889,1.815517,class_1
-1.318132,0.158453,class_2
0.512389,0.152042,class_2
1.000683,0.129042,class_2
-0.192887,0.203556,class_2
0.560298,0.229826,class_2
-1.588662,0.17523,class_2
-1.77202,0.106126,class_1
-3.384351,0.263278,class_1
-6.436914,0.098458,class_1
-5.689855,0.108574,class_1
-3.363624,0.14285,class_1
-2.327036,0.13576,class_1
-2.454662,0.583872,class_1
-2.703597,0.585622,class_1
-2.684053,0.633496,class_1
-2.383077,0.703801,class_1
-2.736837,0.585261,class_1
-2.580008,0.68076,class_1
6.852425,1.608997,class_3
6.81168,1.84668,class_3
6.577792,1.508197,class_3
6.490004,1.442928,class_3
6.550571,1.355922,class_3
6.355707,1.00825,class_3
6.283992,0.956855,class_3
6.239806,1.092697,class_3
6.136738,1.050556,class_3
6.279468,1.071125,class_3
6.127064,0.843467,class_3
-0.305489,0.117248,class_3
0.06755,0.180673,class_3
-0.134606,0.163587,class_3
-0.601143,0.164682,class_3
0.235745,0.157622,class_3
0.596151,0.177752,class_3
-3.025372,0.235965,class_1
-2.544708,0.230217,class_1
-2.776505,0.287797,class_1
-1.865342,0.260207,class_1
-1.806026,0.264383,class_1
-1.710464,0.248282,class_1
-2.78098,0.867486,class_1
-4.458553,1.236358,class_1
-4.946988,1.094217,class_1
-4.903236,1.002874,class_1
-4.368061,0.996426,class_1
0.307437,0.145363,class_2
-1.87266,0.515708,class_2
-1.455148,0.634996,class_2
-1.526766,0.504005,class_2
-1.691609,0.515995,class_2
-1.380349,0.585153,class_2
-3.656736,0.127351,class_1
-6.120852,0.106718,class_1
-6.915288,0.080581,class_1
-6.946659,0.081251,class_1
-6.874134,0.088595,class_1
-1.837281,0.17831,class_1
-5.561255,0.143401,class_3
-3.33969,0.135249,class_3
-4.812462,0.170277,class_3
-5.496928,0.132418,class_3
-2.237517,0.148041,class_3
-5.94381,0.132558,class_3
2.946097,0.166489,class_1
4.049348,0.197853,class_1
1.930675,0.185528,class_1
2.546831,0.556065,class_1
1.155999,0.219808,class_1
1.665519,0.099136,class_1
1.911633,0.086444,class_1
1.787519,0.12826,class_1
1.765067,0.096479,class_1
1.578735,0.081555,class_1
1.63017,0.092078,class_1
-4.600856,2.912333,class_1
-4.306961,3.589824,class_1
-5.072966,3.725612,class_1
-5.096341,3.885475,class_1
-5.179575,3.865374,class_1
-5.169228,3.87281,class_1
1.677644,0.201057,class_2
0.571453,0.77823,class_2
2.161375,0.899453,class_2
1.932342,1.043309,class_2
2.317135,1.254767,class_2
1.982658,1.215383,class_2
-2.994583,0.120833,class_1
-3.330153,0.130427,class_1
-3.514071,0.119468,class_1
-2.264297,0.149964,class_1
-1.40709,0.091366,class_1
-1.556871,0.093825,class_1
-0.770285,1.002254,class_1
-2.138645,0.749128,class_1
-3.080782,0.708874,class_1
-1.391732,0.835558,class_1
-1.713906,0.703345,class_1
-0.104013,0.382224,class_1
6.113028,1.545679,class_3
5.687281,1.481604,class_3
5.641934,1.526931,class_3
6.109519,1.825221,class_3
6.374315,2.083961,class_3
6.118185,1.948098,class_3
5.507195,1.064687,class_3
5.194308,0.92529,class_3
5.298167,0.932983,class_3
5.145293,0.913377,class_3
5.121546,0.960204,class_3
1.130677,0.133269,class_3
1.051804,0.131732,class_3
1.088692,0.127953,class_3
1.065351,0.129177,class_3
1.055885,0.129692,class_3
1.590293,0.146221,class_3
-0.396849,0.274539,class_1
0.812574,0.185375,class_1
0.937497,0.143853,class_1
0.643731,0.180986,class_1
0.933744,0.196176,class_1
0.917437,0.346405,class_1
-5.770285,2.694807,class_1
-5.276675,4.097582,class_1
-5.112931,4.323349,class_1
-5.300869,4.381344,class_1
-5.024824,4.523794,class_1
-4.956664,4.549657,class_1
-0.821219,0.071734,class_1
1.325031,0.068718,class_1
1.398901,0.06977,class_1
1.182577,0.088622,class_1
1.142726,0.092056,class_1
1.142921,0.091275,class_1
-3.18596,3.280201,class_1
-2.703174,3.012338,class_1
-2.45518,3.092511,class_1
-2.586,3.237642,class_1
-2.477189,3.21511,class_1
-2.398421,3.277543,class_1
-3.220311,1.5245,class_1
-3.351774,1.447992,class_1
-3.112129,1.477259,class_1
-3.161873,1.234224,class_1
-3.21364,1.153152,class_1
-3.153671,1.206682,class_1
1.926543,0.963101,class_2
1.825211,0.997147,class_2
1.427242,0.900039,class_2
2.363008,0.981652,class_2
2.094522,0.933693,class_2
2.978616,0.909523,class_2
-2.126551,0.121454,class_1
-2.124368,0.125194,class_1
-2.204661,0.126864,class_1
